epoch,accuracy,loss,val_accuracy,val_loss
0,0.23444508,2.0524632711977735,0.2114245891571045,2.0745417914794158
1,0.27987984,1.8116283917367892,0.23406478762626648,1.8896557387056687
2,0.3866417,1.601826889828323,0.35440611839294434,1.713769860734345
3,0.45212695,1.45159896857728,0.4625566005706787,1.446412404461299
4,0.49710456,1.3282371069550665,0.4956461191177368,1.3175541803588522
5,0.53060913,1.243947165685147,0.4932079315185547,1.3456161677401393
6,0.55849695,1.1702394646066459,0.4998258352279663,1.3374398895274966
7,0.583141,1.1124615850812771,0.5560780167579651,1.1873151473324708
8,0.6028432,1.062257648155365,0.538836658000946,1.224442467254365
9,0.61904037,1.016238413632718,0.531870424747467,1.2435642303967052
10,0.6356512,0.9689573477109412,0.5303030014038086,1.2637956017029488
11,0.65615886,0.9230734872279224,0.5567746162414551,1.16715563755341
12,0.67004836,0.8812006859057468,0.5252525210380554,1.290740338529456
13,0.6861366,0.836919894905454,0.5560780167579651,1.1726091965612573
14,0.70601296,0.7918472007081148,0.5903866291046143,1.1476046978410053
15,0.7231027,0.7440115595723432,0.5801114439964294,1.1659953833373737
16,0.7390604,0.6962128201219053,0.5487635135650635,1.28925544694092
17,0.75863194,0.650003970346697,0.6140717267990112,1.1715360939274346
18,0.7724997,0.6133617755610687,0.5849878191947937,1.2667582320735165
19,0.7912657,0.5664887975721483,0.5832462310791016,1.3012855084919839
20,0.8085732,0.5251881964149496,0.5963079333305359,1.3030357217589392
21,0.8206122,0.4874433916296174,0.6266109347343445,1.2277858057158286
22,0.83471936,0.45638858479160443,0.5649599432945251,1.391076296017752
23,0.84695435,0.42245952054522773,0.5647857785224915,1.4853485377978382
24,0.8552053,0.3998213821695487,0.5691396594047546,1.5189201313209468
25,0.86506724,0.37531998914970965,0.6011842489242554,1.3870823061952022
26,0.87826014,0.3404641370997647,0.6137234568595886,1.4000268873542245
27,0.8828972,0.328441083997004,0.5872518420219421,1.6368344281451372
28,0.89243263,0.30399485969152096,0.5912573933601379,1.6004367539459967
29,0.8978317,0.28912918555823225,0.5964820384979248,1.603682734998665
30,0.9040362,0.26801119461054174,0.607105553150177,1.6204130396283243
31,0.905669,0.26670580998107857,0.5916057229042053,1.638174720775454
32,0.9119824,0.2506895646282267,0.5947405099868774,1.5958343382207245
33,0.92023337,0.23068951322240627,0.6100661754608154,1.6940765602170944
34,0.9216267,0.22863303435099486,0.5936955809593201,1.7705615137728694
